id,name,image,description,value,expiry
1,Rice,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/rice.jpg,"A staple grain widely consumed in Africa, used in dishes like jollof rice and fried rice.",Carbohydrates,1/12/2026
2,Ofada Rice,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/ofada-rice.jpg,"Indigenous Nigerian variety of rice with a distinct aroma and slightly nutty flavor, often served with spicy stew.",Carbohydrates,1/12/2026
3,Maize Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/corn-flour.jpg,"Ground dried maize, used in African staples like pap, tuwo, and ugali.",Carbohydrates,1/12/2026
4,Teff Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/teff-flour.jpg,"Gluten-free flour from teff grain, a staple in Ethiopia, used to make injera.",Fibre,1/12/2026
5,Yam,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/yam.jpg,"Starchy tuber popular in West Africa, often boiled, fried, or pounded.",Carbohydrates,1/12/2026
6,Cassava,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/cassava.jpg,"Root crop processed into gari, fufu, and tapioca, a major energy source in Africa.",Carbohydrates,1/12/2026
7,Cocoyam,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/cocoyam.jpg,"Root vegetable used in soups and pottages, with a slightly nutty flavor.",Carbohydrates,1/12/2026
8,Plantains,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/plantain.jpg,"Starchy banana variety, consumed boiled, fried, or roasted across Africa.",Carbohydrates,1/12/2026
9,Beans,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/beans.jpg,"Legume commonly used in African dishes like moi moi, akara, and beans porridge.",Protein,1/12/2026
10,Bean Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/beans-flour.jpg,"Ground dried beans used in making moi moi, akara, and other African delicacies.",Protein,1/12/2026
11,Bambara Nut Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/bambara-nut-flour.jpg,"Ground flour from Bambara groundnut, used in snacks and traditional porridge.",Protein,1/12/2026
12,Cassava Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/cassava-flour.jpg,"Fine flour made from cassava, used in bread, pastries, and fufu.",Carbohydrates,1/12/2026
13,Flour,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/flour.jpg,"General wheat-based flour used for bread, pastries, and snacks.",Carbohydrates,1/12/2026
14,Pumpkin,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/pumpkin.jpg,"Sweet-fleshed vegetable used in soups, stews, and as a side dish.",Vitamin A,1/12/2026
15,Garden Eggs,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/garden-egg.jpg,"Small African eggplants used in stews, sauces, and eaten raw with peanut sauce.",Vitamin C,1/12/2026
16,Potato,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/potato.jpg,"Versatile tuber eaten boiled, fried, or mashed.",Carbohydrates,1/12/2026
17,Baobab Leaf Powder,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/baobab-leaf-powder.jpg,Powdered baobab leaves used in sauces and soups in West Africa.,Calcium,1/12/2026
18,Baobab Powder,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/baobab-powder.jpg,"Powder from baobab fruit pulp, used in drinks, smoothies, and sauces.",Vitamin C,1/12/2026
19,Tomatoes,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/tomatoes.jpg,"Juicy red fruit used as a base for stews, soups, and sauces, adding flavor and color.",Vitamin C,1/12/2026
20,Tomato Paste,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/tomato-paste.jpg,"Concentrated form of tomatoes, providing intense flavor and color in cooking.",Vitamin C,1/12/2026
21,Red Bell Peppers,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/red-bell-peppers.jpg,"Sweet, crunchy peppers that add flavor, color, and nutrients to dishes.",Vitamin C,1/12/2026
22,Green Bell Peppers,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/green-bell-pepper.jpg,"Mild-tasting peppers used in stir-fries, stews, and salads.",Vitamin C,1/12/2026
23,Scotch Bonnet Peppers,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/scotch-bonnet-peppers.jpg,"Small, very hot peppers that add spice and aroma to West African dishes.",Vitamin C,1/12/2026
24,Onions,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/onions.jpg,"Aromatic vegetable used to build flavor in soups, stews, and sauces.",Antioxidants,1/12/2026
25,Coriander Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/coriander-leaves.jpg,Fresh herb with a citrusy flavor used as garnish and seasoning.,Vitamin C,1/12/2026
26,Green Chili Peppers,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/green-chili-peppers.jpg,Spicy peppers used fresh or cooked to add heat and flavor to meals.,Vitamin C,1/12/2026
27,Lime Juice,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/lime-juice.jpg,"Tart liquid from limes, used for seasoning, marinades, and beverages.",Vitamin C,1/12/2026
28,Spinach Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/spinach-leaves.jpg,"Tender leafy greens used in soups, stir-fries, and salads.",Vitamin A,1/12/2026
29,Spinach,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/spinach-leaves.jpg,Broad leafy green vegetable used cooked or raw in various dishes.,Vitamin A,1/12/2026
30,Oha Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/oha-leaves.jpg,Soft-textured leaves used in traditional Igbo soups like Oha Soup.,Fibre,1/12/2026
31,Afang Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/afang-leaves.jpg,"Slightly bitter leaves used in Afang Soup, often mixed with waterleaf.",Fibre,1/12/2026
32,Waterleaf,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/waterleaf.jpg,"Soft, water-rich leaves used in soups and stews to add thickness and nutrition.",Vitamin A,1/12/2026
33,Ugwu Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/ugwu-leaves.jpg,Dark green leafy vegetable used widely in Nigerian soups.,Iron,1/12/2026
34,Uziza Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/uziza-leaves.jpg,"Aromatic leaves with a peppery flavor, used to spice up soups.",Fibre,1/12/2026
35,Utazi Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/utazi-leaves.jpg,Bitter-tasting leaves used for flavoring and medicinal purposes in soups.,Antioxidants,1/12/2026
36,Pumpkin Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/pumpkin-leaves.jpg,"Tender green leaves from pumpkin plants, cooked in soups and stews.",Vitamin A,1/12/2026
37,Basil Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/basil-leaves.jpg,Fragrant herb used fresh or dried to enhance flavor in soups and sauces.,Vitamin K,1/12/2026
38,Goat Meat,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/goat-meat.jpg,"Lean red meat with a distinct flavor, commonly used in stews, soups, and grills.",Protein,1/12/2026
39,Stock Fish,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/stock-fish.jpg,Sun-dried cod or similar fish used to add deep umami flavor to African soups.,Protein,1/12/2026
40,Beef,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/beef.jpg,"Popular red meat used in a wide range of soups, stews, and grilled dishes.",Protein,1/12/2026
41,Chicken Stock,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/chicken-stock.jpg,"Flavorful liquid made from simmering chicken bones, used to enhance soups and sauces.",Protein,1/12/2026
42,Chicken Breast,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/chicken-breast.jpg,"Lean white meat used in grilled, stir-fried, or stewed recipes.",Protein,1/12/2026
43,Chicken Pieces,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/chicken-pieces.jpg,"Mixed cuts of chicken, providing a variety of flavors and textures in cooking.",Protein,1/12/2026
44,Assorted Meat,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/assorted-meat.jpg,"Combination of various cow or goat parts (tripe, intestine, skin) used in soups and stews.",Protein,1/12/2026
45,Catfish,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/catfish.jpg,"Freshwater fish with a rich, moist flavor, often used in pepper soups and stews.",Protein,1/12/2026
46,Fresh Fish,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/fresh-fish.jpg,"Recently caught fish of various types, providing delicate flavor and texture.",Protein,1/12/2026
47,Goat Head,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/goat-head.jpg,"Specialty cut used in dishes like Isi Ewu, prized for its tender and flavorful meat.",Protein,1/12/2026
48,Cow Foot,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/cow-foot.jpg,"Gelatin-rich meat cut, slow-cooked in soups for thickness and flavor.",Protein,1/12/2026
49,Periwinkle,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/periwinkle.jpg,Small edible sea snails often used in Nigerian coastal soups for added texture and flavor.,Protein,1/12/2026
50,Crayfish,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/crayfish.jpg,"Dried and ground freshwater crustaceans used as a seasoning to impart a rich, savory taste to dishes.",Protein,1/12/2026
52,Vegetable Oil,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/vegetable-oil.jpg,"A neutral-flavored oil extracted from plant sources, widely used for frying, sautéing, and general cooking.",Fats,1/12/2026
53,Palm Oil,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/palm-oil.jpg,"Deep red oil extracted from palm fruit, giving African soups and stews a distinct color and flavor.",Vitamin E,1/12/2026
54,Groundnut Oil,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/groundnut-oil.jpg,"Light-flavored oil extracted from peanuts, ideal for frying and deep cooking due to its high smoke point.",Fats,1/12/2026
55,Melon Seeds,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/melon-seeds.jpg,"Seeds from the egusi melon, ground and used to thicken and flavor West African soups.",Protein,1/12/2026
56,Groundnut,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/groundnut-oil.jpg,"Commonly known as peanuts, eaten roasted, boiled, or used in cooking and snacks.",Protein,1/12/2026
57,Groundnut Powder,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/groundnut-powder.jpg,"Finely ground roasted peanuts used to enrich soups, stews, and sauces.",Protein,1/12/2026
58,Groundnut Paste,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/groundnut-paste.jpg,"Thick peanut-based paste used in making sauces, stews, and spreads.",Protein,1/12/2026
59,Ogbono Seeds,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/ogbono-seeds.jpg,"Wild African mango seeds, ground to create a mucilaginous texture in soups.",Fats,1/12/2026
60,Curry Powder,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/curry-powder.jpg,"A blend of spices including turmeric, coriander, and cumin, adding color and aromatic flavor to dishes.",Antioxidants,1/12/2026
61,Thyme,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/thyme.jpg,"A fragrant herb used fresh or dried to season soups, stews, and meats.",Vitamin C,1/12/2026
62,Pepper Soup Spice,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/pepper-soup-spice.jpg,"A traditional Nigerian blend of spices like uda, ehuru, and alligator pepper used for pepper soup.",Antioxidants,1/12/2026
63,Suya Spice Mix,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/suya-spice-mix.jpg,"A peanut-based spicy mix including ginger, garlic, paprika, and chili, used for grilled meats.",Antioxidants,1/12/2026
64,Yaji Spice Mix,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/suya-spice-mix.jpg,"A variation of suya spice with extra chili, peanuts, and aromatic herbs for intense heat and flavor.",Antioxidants,1/12/2026
65,Locust Beans,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/locust-beans.jpg,"Fermented African carob seeds, used to add deep umami flavor to traditional soups.",Protein,1/12/2026
66,Dried Peppers,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/dried-peppers.jpg,Sun-dried chili peppers ground into flakes or powder for heat and flavor.,Vitamin C,1/12/2026
67,Dried Apricots,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/dried-apricots.jpg,Sweet dried fruit used in savory-sweet stews and rice dishes.,Vitamin A,1/12/2026
68,Raisins,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/raisins.jpg,Dried grapes used to add sweetness and texture to savory or dessert recipes.,Natural Sugar,1/12/2026
69,Cardamom Powder,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/caradom-powder.jpg,"Aromatic spice from cardamom seeds, adding warmth and sweetness to dishes.",Antioxidants,1/12/2026
70,Black Pepper,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/black-pepper.jpg,"Ground spice from peppercorns, enhancing flavor and aiding digestion.",Antioxidants,1/12/2026
71,Red Chili Flakes,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/red-chili-flakes.jpg,Crushed dried red chilies used to add heat to food.,Capsaicin,1/12/2026
72,Vinegar,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/vinegar.jpg,"Sour liquid from fermented alcohol, used for pickling, marinades, and flavor balance.",Antioxidants,1/12/2026
73,Bay Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/bay-leaves.jpg,"Aromatic leaves used to infuse soups, stews, and sauces with subtle herbal notes.",Antioxidants,1/12/2026
74,Garlic,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/garlic.jpg,Pungent bulb used fresh or dried to season and enhance flavor.,Antioxidants,1/12/2026
75,Ginger,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/ginger.jpg,"Aromatic root used for heat, flavor, and medicinal benefits.",Antioxidants,1/12/2026
76,Chili Pepper,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/chili-pepper.jpg,Fresh or dried peppers that add varying levels of heat to food.,Vitamin C,1/12/2026
77,Salt,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/salt.jpg,Essential seasoning used to enhance flavor and preserve food.,Sodium,1/12/2026
78,Seasoning Cubes,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/seasoning-cubes.jpg,"Compressed stock cubes made from salt, spices, and flavorings, used to season dishes.",Sodium,1/12/2026
79,Ground Pepper,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/ground-pepper.jpg,"Finely ground black or white peppercorns, used for flavor and mild heat.",Antioxidants,1/12/2026
80,Pepper Sauce,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/pepper-sauce.jpg,"A spicy condiment made from blended peppers, oil, and seasonings.",Vitamin C,1/12/2026
81,Potash,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/potash.jpg,Alkaline cooking additive used to tenderize food and thicken certain traditional dishes.,Potassium Carbonate,1/12/2026
82,Honey,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/honey.jpg,"Sweet viscous liquid made by bees, used as a natural sweetener and flavor enhancer.",Natural Sugar,1/12/2026
83,Sugar,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/sugar.jpg,"Sweetener used in cooking, baking, and beverages.",Carbohydrates,1/12/2026
84,Granulated Sugar,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/granulated-sugar.jpg,"White refined sugar with fine crystals, used widely in sweet recipes and drinks.",Carbohydrates,1/12/2026
85,Yeast,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/yeast.jpg,Living fungus used in baking to ferment and leaven dough.,Protein,1/12/2026
86,Water,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/water.jpg,"Clear, odorless liquid vital for cooking, steaming, and boiling.",Essential for Hydration,1/12/2026
87,White Bread,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/white-bread.jpg,"Soft bread made from refined white flour, used in snacks and meals.",Carbohydrates,1/12/2026
88,Milk,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/milk.jpg,"Nutrient-rich liquid from mammals, used for drinking, cooking, and baking.",Protein,1/12/2026
89,Eggs,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/eggs.jpg,"Versatile food from poultry, used boiled, fried, scrambled, or in baking.",Protein,1/12/2026
90,Coconut Milk,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/coconut-milk.jpg,"Creamy liquid extracted from grated coconut meat, used in curries, stews, and desserts.",Fats,1/12/2026
91,Palm Nuts (Banga),https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/palm-nuts.jpg,"Palm nuts are the fruit of the oil palm tree, commonly boiled, pounded, and processed to extract palm oil used in West African soups such as Banga and Ofe Akwu.",Vitamin E,1/12/2026
92,Banga Spices,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/banga-spices.jpg,"A traditional spice mix for Banga soup, often including combinations like oburunbebe stick, ataiko, rohojie, and other indigenous spices that give the soup its distinctive aroma and flavor.",Antioxidants,1/12/2026
93,Scent Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/scent-leaves.jpg,"Aromatic leafy herb popular in Nigerian cooking, valued for its peppery, minty taste and health benefits such as aiding digestion and boosting immunity.",Calcuim & Iron,1/12/2026
94,Pepper,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/habanero-peppers.jpg,"Pepper is a spicy vegetable rich in Vitamin C and antioxidants, commonly used to add heat and flavor to Nigerian dishes.",Vitamin C,1/12/2026
95,Okra,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/okra.jpg,Okra is a green pod vegetable known for its mucilaginous texture that thickens soups such as Okra Soup.,Dietary Fiber,1/12/2026
96,Sesame Seeds,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/sesame-seeds.jpg,"Sesame seeds are tiny oil-rich seeds used in soups like Beniseed Soup, providing protein, calcium, and healthy fats.",Healthy Fats,1/12/2026
97,Abacha,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/abacha.jpg,"Abacha, also known as African Salad, is made from processed shredded cassava and is popular in Igbo cuisine.",Carbohydrates,1/12/2026
98,Ugba,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/ugba.jpg,"Ugba is fermented African oil bean seed, often mixed with Abacha, rich in plant protein and probiotics.",Protein,1/12/2026
99,Pigeon Peas,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/pigeon-peas.jpg,"Pigeon peas are legumes high in protein and fiber, used in stews, porridges, and side dishes.",Protein,1/12/2026
100,Dried Fish,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/dried-fish.jpg,"Dried fish is preserved fish with a strong flavor, commonly used in Nigerian soups and stews for its umami richness.",Protein,1/12/2026
101,Smoked Fish,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/smoked-fish.jpg,Smoked fish is fire-dried fish that adds a deep smoky taste to soups and sauces while providing omega-3 fatty acids.,Omega-3 Fatty Acids,1/12/2026
102,Cow Tripe,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/cow-tripe.jpg,"Cow tripe, the edible stomach lining of cattle, is commonly used in Nigerian soups and stews like Pepper Soup and Nkwobi.",Protein,1/12/2026
103,Habanero Peppers,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/habanero-peppers.jpg,"Habanero peppers are very hot chili peppers rich in capsaicin, often used to bring intense spice to Nigerian dishes.",Capsaicin,1/12/2026
104,Corn,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/corn.jpg,"Corn is a cereal grain eaten boiled, roasted, or ground into flour. It is a staple in many Nigerian meals such as Pap and Tuwo.",Carbohydrates,1/12/2026
105,Water Yam,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/water-yam.jpg,Water yam is a yam variety often grated and used to prepare dishes like Ikokore (water yam porridge).,Carbohydrates,1/12/2026
106,Banga,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/palm-nuts.jpg,"Palm nuts are the fruit of the oil palm tree, commonly boiled, pounded, and processed to extract palm oil used in West African soups such as Banga and Ofe Akwu.",Vitamin E,1/12/2026
107,Lemon Juice,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/lemon-juice.jpg,Freshly squeezed citrus juice commonly used to enhance flavor in both sweet and savory dishes. Rich in Vitamin C and antioxidants.,Vitamin C,1/12/2026
108,Baking Powder,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/baking-powder.jpg,"A leavening agent used in baking to help dough rise, made from a mixture of carbonate or bicarbonate and acid salts.",Sodium Bicarbonate,1/12/2026
109,Okazi Leaves,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/ingredient_image/okazi-leaves.jpg,"A tough, slightly bitter leafy vegetable widely used in Nigerian soups such as Afang Soup. Known for its high fiber content.",Dietary Fiber & Iron,1/12/2026
