id,title,description,image_url,created_at,value,time,instructions
1,Jollof Rice,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/jollof-rice.jpg,2025-08-16 17:55:16,Carbohydrate,50min,"Wash and parboil the rice until partially cooked, then drain and set aside. Blend the tomatoes, red bell peppers, and onions into a smooth paste. Heat vegetable oil in a pot, fry sliced onions until fragrant, then stir in the blended mix with tomato paste. Season with curry powder, thyme, salt, and pepper, and cook until the oil separates from the sauce. Add chicken stock and stir in the parboiled rice, mixing thoroughly. Cover and cook on low heat until the rice is tender and has absorbed all flavors."
2,Egusi Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/egusi-soup.jpg,2025-08-16 17:55:16,Protein,45min,"Season and boil the goat meat and stock fish until tender, reserving the broth. Heat palm oil in a pot, add chopped onions, and fry lightly. Stir in the ground melon seeds, cooking gently to release flavor. Gradually add the meat stock while stirring to form a thick base. Mix in the cooked meat, fish, crayfish, and chopped peppers, adjusting seasoning as needed. Add spinach leaves and simmer briefly before serving hot."
3,Bunny Chow,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/bunny-chow.jpg,2025-08-16 17:55:16,Protein,40min,"Slice the bread loaf in half and hollow out the center to make a bowl. Heat vegetable oil in a large pan and sauté onions, garlic, and ginger until aromatic. Add diced chicken and brown lightly before mixing in curry powder. Stir in tomatoes and potatoes, adding water to form a sauce if necessary. Cook until chicken is tender and potatoes are soft. Ladle the curry into the bread bowl and serve hot."
4,Bobotie,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/bobotie.jpg,2025-08-16 17:55:16,Protein,55min,"Preheat the oven to 180°C and grease a baking dish. Soak slices of bread in milk until soft, then squeeze gently. Fry chopped onions until soft, then add minced beef and cook until browned. Mix in curry powder, apricots, raisins, vinegar, salt, and pepper. Transfer to the baking dish and smooth the surface. Whisk eggs with the leftover milk, pour over the meat, top with bay leaves, and bake until golden brown."
5,Chapati,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/chapati.jpg,2025-08-16 17:55:16,Carbohydrates,35min,"Combine flour and salt in a bowl, then add warm water gradually to form a dough. Knead for 10 minutes until smooth and elastic, then cover and rest for 30 minutes. Divide into small balls and roll out each into thin circles. Heat a skillet, lightly brush with oil, and cook each chapati until golden on both sides. Stack and cover to keep warm until ready to serve."
6,Mandazi,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/mandazi.jpg,2025-08-16 17:55:16,Carbohydrates,25min,"In a mixing bowl, combine flour, sugar, baking powder, cardamom, and salt. Add coconut milk slowly, mixing until a soft dough forms. Knead lightly, cover, and rest for 20 minutes. Roll the dough to about 1 cm thick and cut into triangles or squares. Heat oil in a deep pan and fry until golden on both sides. Drain on paper towels before serving warm."
7,Kachumbari,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/kachumbari.jpg,2025-08-16 17:55:16,Vitamin C,10min,"Dice ripe tomatoes into small cubes and thinly slice the red onions. Soak the onions in salted water for a few minutes to reduce sharpness. Chop coriander leaves and chili peppers finely. Combine all vegetables in a bowl, drizzle with lime juice, and season with salt. Toss gently to mix flavors and serve immediately as a refreshing side."
8,Nyama Choma,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/nyama-choma.jpg,2025-08-16 17:55:16,Protein,60min,"Cut goat meat into medium pieces and place in a large bowl. Marinate with lemon juice, salt, pepper, and chili flakes for at least an hour. Preheat a charcoal grill until hot. Place meat on the grill, turning occasionally until fully cooked and charred on the edges. Serve hot with ugali or fresh vegetables."
9,Ugali,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ugali.jpg,2025-08-16 17:55:16,Carbohydrates,15min,Bring salted water to a boil in a large pot. Slowly pour in maize flour while stirring constantly to prevent lumps. Reduce heat and continue stirring until thick and firm. Shape into a mound and serve hot with meat or vegetable dishes.
10,Injera,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/injera.jpg,2025-08-16 17:55:16,Fiber,20min,"Mix teff flour, water, and salt into a thin batter, cover, and ferment for 1–3 days until slightly sour. Heat a skillet over medium heat and pour the batter in a circular motion to cover the surface. Cover and cook until bubbles form and the top sets without flipping. Remove and keep warm. Repeat with the remaining batter. Serve with various stews or vegetables."
11,Suya,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/suya.jpg,2025-08-16 17:55:16,Protein,30min,"Slice beef into thin strips and pat dry with a paper towel. Mix ground peanut powder with suya spice and salt, then coat the beef thoroughly. Thread the beef strips onto skewers and brush lightly with vegetable oil. Grill over medium-high heat, turning occasionally, until cooked through and slightly charred. Serve hot with sliced onions and tomatoes on the side."
12,Pepper Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/pepper-soup.jpg,2025-08-16 17:55:16,Protein,40min,"Wash and cut goat meat into medium pieces, then place in a pot with chopped onions and seasoning cubes. Add water to cover and bring to a boil. Stir in pepper soup spice blend and chopped scotch bonnet peppers. Reduce heat and simmer until the meat is tender. Add fresh basil leaves before serving for extra flavor."
13,Fufu,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/fufu.jpg,2025-08-16 17:55:16,Carbohydrates,30min,"Peel cassava and yams, then cut into chunks. Boil in water until soft. Drain and transfer to a mortar, pounding until smooth and stretchy. Alternatively, blend boiled pieces in a food processor. Shape into balls and serve with soups or stews."
14,Groundnut Stew,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/groundnut-stew.jpg,2025-08-16 17:55:16,Fats,45min,"Heat vegetable oil in a pot and sauté chopped onions until fragrant. Add diced tomatoes and cook until soft. Stir in peanut butter and mix until smooth, then add chicken pieces. Pour in enough water to make a thick stew and season with cubes, salt, and chili pepper. Simmer until the chicken is cooked through and the sauce is rich."
15,Moi Moi,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/moi-moi.jpg,2025-08-16 17:55:16,Protein,60min,"Soak beans in water, then peel off the skins. Blend peeled beans with peppers, onions, and water to form a smooth paste. Add vegetable oil, seasoning cubes, and salt, mixing well. Pour into ramekins or banana leaves, cover tightly, and steam for about 45 minutes. Check for firmness before serving."
16,Efo Riro,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/efo-riro.jpg,2025-08-16 17:55:16,Iron,50min,"Wash and season goat meat and stock fish, then boil until tender. Blend tomatoes, red bell peppers, and scotch bonnets into a smooth paste. Heat palm oil in a pot, add sliced onions, and fry briefly. Stir in the blended pepper mixture and cook until the oil floats to the top. Add the cooked meats, crayfish, and seasoning, then stir in spinach leaves. Simmer for a few minutes before serving."
17,Oha Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/oha-soup.jpg,2025-08-16 17:55:16,Fiber,55min,"Wash and season the goat meat and stock fish, then boil until tender. Add cocoyam paste to the broth and stir until dissolved, forming a thick soup base. Pour in palm oil and stir well. Add ground crayfish, peppers, and seasoning, then bring to a simmer. Stir in shredded oha leaves and cook for a few minutes before serving hot."
18,Afang Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/afang-soup.jpg,2025-08-16 17:55:16,Antioxidants,60min,"Wash and season beef and stock fish, then boil until tender. Add palm oil to the pot, followed by ground crayfish, peppers, and seasoning. Stir in chopped waterleaf and cook until softened. Add the shredded afang leaves and periwinkle, then simmer until the soup thickens. Adjust seasoning to taste and serve hot."
19,Okra Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/okra-soup.jpg,2025-08-16 17:55:16,Fiber,40min,"Wash and dice fresh okra into small pieces. Boil goat meat and stock fish with onions and seasoning until tender. Add palm oil to the pot, followed by crayfish and chopped peppers. Stir in the diced okra and cook for a few minutes until slightly thickened. Serve hot with fufu or pounded yam."
20,Edikang Ikong Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/edikang-ikong-soup.jpg,2025-08-16 17:55:16,Vitamin A,60min,"Wash and boil goat meat and stock fish until tender. Add palm oil to the pot, then stir in ground crayfish and chopped peppers. Add chopped waterleaf and cook until softened. Stir in the shredded ugu leaves and periwinkle, mixing well. Simmer briefly to retain the green color of the vegetables, then serve hot."
21,Nsala Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/nsala-soup.jpg,2025-08-16 17:55:16,Omega-3,45min,"Peel and boil yam, then pound into a smooth paste. Clean and cut catfish into steaks, place in a pot with water, and season with cubes, crayfish, and chopped peppers. Add yam paste to thicken the soup, stirring well. Finish with shredded uziza and utazi leaves before serving."
22,Ogbono Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ogbono-soup.jpg,2025-08-16 17:55:16,Omega-3,50min,"Boil goat meat and stock fish with onions and seasoning until tender. In another pot, dissolve ground ogbono seeds in palm oil over low heat, stirring constantly. Pour in meat stock, add crayfish, peppers, and the cooked meats. Stir in spinach and simmer briefly before serving."
23,Akara,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/akara.jpg,2025-08-16 17:55:16,Protein,60min,"Soak beans and remove skins. Blend with onions and peppers into a smooth batter, adding salt to taste. Heat vegetable oil in a pan and drop spoonfuls of the batter into hot oil. Fry until golden brown on all sides. Serve hot as a snack or breakfast item."
24,Ayamase,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ayamase.jpg,2025-08-16 17:55:16,Vitamin C,55min,"Blend green bell peppers, scotch bonnets, and onions into a smooth paste. Bleach palm oil in a pot, add locust beans, then pour in the blended mix. Fry until the oil rises to the top. Add cooked goat meat and seasoning, then simmer until flavors meld."
25,Beans and Plantain Pottage,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/beans-and-plantain-pottage.jpg,2025-08-16 17:55:16,Protein & Carbohydrate,50min,"Boil beans until tender. Add chopped ripe plantains, palm oil, onions, and peppers. Season with cubes and salt, then simmer until the plantains are soft and the dish thickens slightly. Serve hot."
26,Yam Porridge,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/yam-porridge.jpg,2025-08-16 17:55:16,Carbohydrate,45min,"Peel and cube yam. Place in a pot with water, tomatoes, onions, and peppers. Add palm oil and seasoning, then simmer until yam is tender. Mash slightly for a thick texture and stir in spinach before serving."
27,Ofada Rice and Ayamase Sauce,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/offada-rice-and-ayamase-sauce.jpg,2025-08-16 17:55:16,Carbohydrate,65min,"Cook ofada rice until tender. Blend peppers and onions, bleach palm oil, and add locust beans. Fry blended mixture until reduced, then add cooked assorted meats and seasoning. Serve the sauce hot over the rice."
28,Ukodo,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ukodo.jpg,2025-08-16 17:55:16,Carbohydrate & Protein,55min,"Cut yam and plantains into chunks. Boil goat meat with onions, spice, and seasoning until tender. Add yam and plantains to the pot along with chopped peppers. Simmer until soft, then stir in basil leaves before serving hot."
29,Tuwo Shinkafa,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/tuwo-shinkafa.jpg,2025-08-16 17:55:16,Carbohydrate,35min,"Rinse short-grain rice and cook in water until very soft. Mash with a wooden spoon to form a smooth, thick texture. Mold into balls and serve with soups like miyan kuka or miyan taushe."
30,Miyan Kuka,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/miyan-kuka.jpg,2025-08-16 17:55:16,Iron,50min,"Boil beef with onions, seasoning, and peppers until tender. Add palm oil and crayfish, then sprinkle in baobab leaf powder while stirring to avoid lumps. Simmer until thickened and serve hot with tuwo shinkafa."
31,Miyan Taushe,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/miyan-taushe.jpg,2025-08-16 17:55:16,Vitamin A,55min,"Boil beef until tender. Blend pumpkin and peppers into a smooth paste. Add palm oil to a pot, pour in the paste, then stir in groundnut paste and seasoning. Add spinach before serving with tuwo shinkafa."
32,Okpa,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/okpa.jpg,2025-08-16 17:55:16,Protein,45min,"Mix bambara nut flour with palm oil until smooth. Add seasoning, salt, and water to form a medium-thick batter. Wrap in banana leaves or bowls and steam until firm. Serve hot or warm."
33,Masa,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/masa.jpg,2025-08-16 17:55:16,Carbohydrates,40min,"Soak rice, blend into a smooth batter, add yeast, sugar, and salt. Let rise, then fry small rounds in a special masa pan until golden."
34,Nkwobi,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/nkwobi.jpg,2025-08-16 17:55:16,Collagen,90min,"Boil cow foot until very tender. Dissolve potash in water and strain. Mix palm oil with potash water until it forms a thick yellow paste. Add peppers, onions, seasoning, and the cow foot. Garnish with utazi leaves."
35,Isi Ewu,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/isi-ewu.jpg,2025-08-16 17:55:16,Protein,85min,"Boil goat head until tender. Prepare potash water, mix with palm oil until creamy. Add peppers, onions, seasoning, and goat head pieces. Garnish with utazi leaves before serving."
36,Coconut Rice,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/coconut-rice.jpg,2025-08-16 17:55:16,Carbohydrates & Fats,45min,"Boil rice in coconut milk with onions, peppers, and seasoning until tender and infused with coconut flavor."
37,Kilishi,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/kilishi.jpg,2025-08-16 17:55:16,Protein,150min,"Slice beef thinly and marinate in groundnut powder mixed with yaji, honey, and salt. Sun-dry until partly dry, then grill over low heat until crisp."
38,Fried Plantain,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/fried-plantain.jpg,2025-08-16 17:55:16,Potassium,15min,"Peel and slice plantains, sprinkle with salt, and fry in hot oil until golden on both sides."
39,Ekuru,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ekuru.jpg,2025-08-16 17:55:16,Protein,50min,"Peel beans, blend with water into a smooth paste, and season with salt. Steam in leaves until firm. Serve plain or with sauce."
40,Boli,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/boli.jpg,2025-08-16 17:55:16,Fiber,20min,Roast ripe plantains over open flame until charred. Serve with roasted groundnuts and a pinch of salt.
41,Fisherman Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/fisherman-soup.jpg,2025-08-16 17:55:16,Omega-3,40min,"Clean fish and season lightly. In a pot, heat palm oil, add crayfish, peppers, and seasoning. Add fish and periwinkles, simmer until cooked, and finish with basil leaves."
42,Garden Egg Sauce,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/garden-egg-sauce.jpg,2025-08-16 17:55:16,Fiber,30min,"Boil garden eggs until soft, peel, and mash. Fry onions and peppers in palm oil, add crayfish and seasoning, then stir in mashed garden eggs. Simmer for a few minutes before serving."
43,Ewa Agoyin,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ewa-agoyin.jpg,2025-08-16 17:55:16,Protein,55min,"Boil beans until very soft. In another pan, bleach palm oil, fry onions and dried pepper blend until darkened. Serve beans topped generously with the pepper sauce."
44,Gboma Dessi,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/gboma-dessi.jpg,2025-08-16 17:55:16,Iron,45min,"Boil goat meat until tender. Fry tomatoes, onions, and peppers in palm oil. Add crayfish and seasoning, then stir in spinach and simmer for a few minutes before serving."
45,Waina,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/waina.jpg,2025-08-16 17:55:16,Carbohydrates,35min,"Soak rice, then blend with water into a smooth batter. Add yeast, sugar, and salt. Let it ferment, then fry in a special waina pan until golden brown on both sides."
46,Balangu,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/balangu.jpg,2025-08-16 17:55:16,Protein,40min,"Cut beef into strips and season with salt. Grill over open flames until partly cooked. Pound grilled beef in a mortar to soften, then return to the fire until fully done. Serve with chopped onions and peppers."
47,Dan Wake,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/dan-wake.jpg,2025-08-16 17:55:16,Protein,30min,"Mix bean flour, cassava flour, and baobab powder with salt and potash solution to form a dough. Shape into small balls and drop into boiling water until they float. Serve with groundnut oil and pepper sauce."
48,Porridge Yam and Beans,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/porridge-yam-and-beans.jpg,2025-08-16 17:55:16,Protein & Carbohydrate,50min,"Boil peeled yam cubes and pre-cooked beans together. Add palm oil, ground crayfish, onions, and pepper. Mash lightly to desired texture and simmer until flavors blend."
49,Iru Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/iru-soup.jpg,2025-08-16 17:55:16,Protein,35min,"Heat palm oil, fry onions, add locust beans and stir-fry briefly. Add dried fish, crayfish, and pepper, then simmer until flavors combine."
50,Catfish Stew,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/catfish-stew.jpg,2025-08-16 17:55:16,Protein,40min,"Clean catfish with hot water, season, and set aside. Blend tomatoes, peppers, and onions, then fry in palm oil. Add catfish gently and simmer until cooked through."
51,Beniseed Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/beniseed-soup.jpg,2025-08-16 17:55:16,Fats & Calcium,55min,"Roast Sesameseed, grind into paste. Cook meat and stock fish with seasoning, add beniseed paste, palm oil, and pepper. Simmer until thick."
52,Masa With Honey Drizzle,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/masa-with-honey-drizzle.jpg,2025-08-16 17:55:16,Carbohydrates,45min,"Soak rice, blend, and mix with yeast, sugar, and salt. Ferment for a few hours. Fry in a masa pan until golden, then serve with honey drizzle."
53,Abacha and Ugba,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/abacha-and-ugba.jpg,2025-08-16 17:55:16,Carbohydrates & Fibre,35min,"Soak abacha in warm water until soft and drain. Heat palm oil in a bowl (no direct fire), add potash solution, and stir until it becomes thick and yellow. Mix in crayfish, pepper, onions, seasoning, and ugba. Add abacha and toss until coated. Garnish with utazi leaves, garden egg slices, and smoked fish if desired."
54,Echicha,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/echicha.jpg,2025-08-16 17:55:16,Protein & Fibre,75min,"Boil Pigeon Peas until tender. Soak and wash Dried Cocoyam slices. In a pot, heat Palm Oil, add Onions, Crayfish, and Pepper, then stir in Cocoyam. Add the cooked Pigeon Peas, Fish, Seasoning, and Salt. Simmer until flavors blend, then stir in Vegetables before serving."
55,Ojojo,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ojojo.jpg,2025-08-16 17:55:16,Carbohydrates,25min,"Peel and grate Water Yam into a smooth paste. Mix with chopped Onions, Pepper, Salt, and Seasoning. Scoop spoonfuls into hot oil and fry until golden brown. Serve with Pepper Sauce or as a snack."
56,Ofe Akwu (Banga Stew),,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ofe-akwu.jpg,2025-08-16 17:55:16,Vitamin A & E,60min,"Boil and pound Palm Nuts, then extract the juice. Cook Meat and Fish with Onions, Pepper, and Seasoning. Add Palm Nut extract and bring to boil. Add blended Tomatoes, Crayfish, and more Seasoning. Simmer until thickened, then add Scent Leaves before serving with Rice."
57,Shaki Stew,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/shaki-stew.jpg,2025-08-16 17:55:16,Protein,80min,"Wash and boil Shaki until soft. Blend Tomatoes, Pepper, and Onions. Heat Oil, fry the blend until water evaporates, add Shaki, Seasoning, and Crayfish. Simmer until well coated and thickened. Serve with Rice, Yam, or Bread."
58,Ofada Stew,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ofada-stew.jpg,2025-08-16 17:55:16,Vitamin C & Iron,60min,"Blend Peppers and Onions coarsely. Boil Assorted Meats until tender. Bleach Palm Oil slightly, add Locust Beans, then fry the Pepper blend. Add Meats, Crayfish, Seasoning, and simmer until Oil floats on top. Serve with Ofada Rice."
59,Ofe Nsala With Fresh Fish,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ofe-nsala-with-fresh-fish.jpg,2025-08-16 17:55:16,Omega-3 & Fatty Acids,45min,"Boil Yam until soft, pound, and set aside. Clean Catfish with hot water. In a pot, boil Fish with Pepper, Crayfish, Seasoning, and Salt. Add Yam paste to thicken. Simmer, then add Utazi Leaves before serving.il slightly, add Locust Beans, then fry the Pepper blend. Add Meats, Crayfish, Seasoning, and simmer until Oil floats on top. Serve with Ofada Rice."
60,Okazi Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/okazi-soup.jpg,2025-08-16 17:55:16,Antioxidants,60min,"Boil Meats and Stock Fish until tender. Add Palm Oil, Crayfish, Pepper, and Seasoning. Add Waterleaf first, then Okazi Leaves. Simmer for a few minutes and serve with Fufu."
61,Adalu,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/adalu.jpg,2025-08-16 17:55:16,Protein & Fibre,70min,"Boil Beans until soft, then add Corn. Stir in Palm Oil, Onions, Crayfish, Pepper, Salt, and Seasoning. Cook until thick and creamy."
62,Ekpang Nkukwo,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/ekpang-nkukwo.jpg,2025-08-16 17:55:16,Fibre & Calcium,90min,"Peel and grate Cocoyam and Water Yam. Wrap spoonfuls in Pumpkin Leaves and layer in a pot with cleaned Periwinkle, Fish, and Crayfish. Add Palm Oil, Pepper, Seasoning, and a little water. Cook on low heat until well done."
63,Banga Soup,,https://xeevemzgzndrhywyzxei.supabase.co/storage/v1/object/public/recipe_image/banga-soup.jpg,2025-08-16 17:55:16,Vitamin E,60min,"Boil Palm Nuts, pound, and extract the juice. Boil Meat or Fish with Seasoning Cubes. Add Palm Nut extract, Banga Spices, Pepper, and Crayfish. Simmer until thickened, then add Scent Leaves before serving."
